Total Nacional;Comunidades y Ciudades Autónomas;Grupos de usuarios e importe;periodo;Total
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2016;547
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2014;1.957
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2013;2.075
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2012;3.240
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2011;470
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2010;1.288
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2009;1.906
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2008;6.494
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2007;4.012
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2006;4.063
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2005;3.072
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2004;2.201
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2003;3.878
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2002;2.630
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2001;4.301
Total Nacional;11 Extremadura;Importe total de la inversión en los servicios de suministro;2000;1.214
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2020;2.594
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2018;1.493
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2016;8.314
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2014;13.472
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2013;10.238
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2012;9.305
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2011;676
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2010;6.121
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2009;3.336
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2008;7.282
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2007;4.287
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2006;5.111
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2005;5.485
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2004;3.143
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2003;7.531
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2002;4.932
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2001;7.677
Total Nacional;12 Galicia;Importe total de la inversión en los servicios de suministro;2000;18
