"Total Nacional","Comunidades y Ciudades Autónomas","Grupos de usuarios e importe","periodo","Total"
"Total Nacional","02 Aragón","- Hogares",2009,"71.151"
"Total Nacional","02 Aragón","- Hogares",2008,"71.233"
"Total Nacional","02 Aragón","- Hogares",2007,"66.408"
"Total Nacional","02 Aragón","- Hogares",2006,"69.844"
"Total Nacional","02 Aragón","- Hogares",2005,"70.879"
"Total Nacional","02 Aragón","- Hogares",2004,"73.914"
"Total Nacional","02 Aragón","- Hogares",2003,"75.715"
"Total Nacional","02 Aragón","- Hogares",2002,"75.452"
"Total Nacional","02 Aragón","- Hogares",2001,"76.337"
"Total Nacional","02 Aragón","- Hogares",2000,"76.235"
"Total Nacional","02 Aragón","- Consumos municipales",2020,"6.795"
"Total Nacional","02 Aragón","- Consumos municipales",2018,"11.300"
"Total Nacional","02 Aragón","- Consumos municipales",2016,"9.143"
"Total Nacional","02 Aragón","- Consumos municipales",2014,"8.897"
"Total Nacional","02 Aragón","- Consumos municipales",2013,"7.916"
"Total Nacional","02 Aragón","- Consumos municipales",2012,"10.971"
"Total Nacional","02 Aragón","- Consumos municipales",2011,"5.462"
"Total Nacional","02 Aragón","- Consumos municipales",2010,"6.140"
"Total Nacional","02 Aragón","- Consumos municipales",2009,"6.805"
"Total Nacional","02 Aragón","- Consumos municipales",2008,"10.061"
"Total Nacional","02 Aragón","- Consumos municipales",2007,"9.212"
"Total Nacional","02 Aragón","- Consumos municipales",2006,"13.867"
"Total Nacional","02 Aragón","- Consumos municipales",2005,"12.951"
"Total Nacional","02 Aragón","- Consumos municipales",2004,"13.856"
"Total Nacional","02 Aragón","- Consumos municipales",2003,"19.292"
"Total Nacional","02 Aragón","- Consumos municipales",2002,"4.787"
"Total Nacional","02 Aragón","- Consumos municipales",2001,"9.084"
"Total Nacional","02 Aragón","- Consumos municipales",2000,"8.222"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2020,"69.278"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2018,"69.808"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2016,"76.067"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2014,"66.984"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2013,"66.876"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2012,"70.291"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2011,"57.088"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2010,"64.153"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2009,"65.310"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2008,"63.538"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2007,"56.920"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2006,"52.012"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2005,"46.601"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2004,"46.238"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2003,"52.415"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2002,"43.647"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2001,"40.817"
"Total Nacional","02 Aragón","Importe facturado por el agua suministrada",2000,"40.472"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2020,"691"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2018,"660"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2016,"885"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2014,"4.960"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2013,"3.543"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2012,"4.708"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2011,"4.259"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2010,"12.902"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2009,"15.186"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2008,"18.014"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2007,"4.569"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2006,"3.312"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2005,"2.311"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2004,"4.081"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2003,"6.735"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2002,"5.897"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2001,"2.648"
"Total Nacional","02 Aragón","Importe total de la inversión en los servicios de suministro",2000,"5.770"
"Total Nacional","02 Aragón","Longitud de la red de suministro (km)",2020,"5.451"
"Total Nacional","02 Aragón","Longitud de la red de suministro (km)",2018,"5.143"
"Total Nacional","02 Aragón","Longitud de la red de suministro (km)",2016,"5.360"
"Total Nacional","02 Aragón","Longitud de la red de suministro (km)",2014,"5.239"
"Total Nacional","02 Aragón","Longitud de la red de suministro (km)",2013,"4.971"
"Total Nacional","02 Aragón","Longitud de la red de suministro (km)",2012,".."
"Total Nacional","02 Aragón","Longitud de la red de suministro (km)",2011,".."
"Total Nacional","02 Aragón","Longitud de la red de suministro (km)",2010,".."
"Total Nacional","02 Aragón","Longitud de la red de suministro (km)",2009,".."
"Total Nacional","02 Aragón","Longitud de la red de suministro (km)",2008,".."
